training_episodes,held_out_gamelets,capture_rate,series_win_rate,official_role_score,official_opponent_score,worst_family_rate,artifact_sha256,promotion_passed
2400,1800,0.848333333333333,0.98,31905,10365,0.461111111111111,1c6f85bed3ba754d1daa38aa394b455d605fe1768436532581cc118b5be96949,false
3200,1800,0.853888888888889,0.986666666666667,32055,10315,0.483333333333333,bc389ac12a438fbab8207b187d850b3bf44ba07e378c536495f476604dddfd4d,false
4800,1800,0.848333333333333,0.986666666666667,31905,10365,0.494444444444444,89e600846d95a0d4a5c9e62c9aa8524cd50086edc5c109ef9c8464f3fe6b8475,false
8800,1800,0.833333333333333,0.99,31500,10500,0.522222222222222,36abc101ec496ca546e1ca8cf98a27899048928022f659a0818e501e21c3049e,false
11800,1800,0.829444444444444,0.993333333333333,31395,10535,0.577777777777778,b9e74b7a13ca461484f2b47046eeecf8d393cb8d64b7cdd51d2915b714c21268,true
